update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
419,3435584,11651,15,1900.7,2843.9,2.9,8.4,1.76,0.8,0.6667,1.0,0.0,0.8,,329.1,6.33,0.8194,17.3,0.2875,2.27,0.0084,0.0704,0.8895,-0.0084,0.014,-0.7435,83,random
420,3443776,11667,16,1912.2,2817.7,2.9,8.5,1.75,0.8333,1.0,0.6667,0.0,0.8333,,399.4,6.62,0.8599,17.56,0.3001,2.36,0.0087,0.0872,0.8833,-0.0077,0.0188,-0.7705,83,random
421,3451968,11690,23,1923.9,2651.0,3.1,8.4,1.91,0.8,0.75,1.0,0.0,0.8,,446.9,6.61,0.8633,17.96,0.2989,2.37,0.0112,0.0817,0.8381,-0.0085,0.0225,-0.7334,84,random
422,3460160,11710,20,1935.5,2650.3,3.1,8.3,1.9,0.6667,0.6,0.75,0.0,0.6667,,450.0,7.45,0.8053,17.84,0.2795,2.24,0.0098,0.07,0.7917,-0.0081,0.0247,-0.7192,84,random
423,3468352,11728,18,1947.1,2558.2,3.2,8.4,2.04,0.6667,0.5,0.8,0.0,0.6667,,382.6,6.89,0.7775,17.14,0.2736,2.18,0.0087,0.0706,0.8909,-0.0097,0.0136,-0.6818,84,random
424,3476544,11746,18,1959.0,2495.7,3.3,8.4,2.13,0.75,0.6667,0.8,0.0,0.75,,449.0,7.33,0.7404,17.49,0.2587,2.1,0.0097,0.0629,0.8783,-0.0088,0.0148,-0.6701,84,random
425,3484736,11766,20,1971.0,2442.9,3.4,8.4,2.18,0.4545,0.2,0.6667,0.0,0.4545,,412.9,7.25,0.7988,19.31,0.2698,2.22,0.0085,0.0771,0.886,-0.0081,0.0144,-0.6773,84,random
426,3492928,11788,22,1982.8,2513.3,3.3,8.4,2.1,0.8571,0.8889,0.8,0.0,0.8571,,372.1,6.77,0.7084,17.5,0.2475,2.03,0.0106,0.0738,0.8747,-0.0093,0.0163,-0.6641,85,random
427,3501120,11806,18,1994.8,2394.4,3.4,8.2,2.23,0.7778,0.5,0.8571,0.0,0.7778,,402.9,6.83,0.768,18.12,0.2651,2.16,0.0098,0.0707,0.9071,-0.0088,0.0131,-0.6755,85,random
428,3509312,11834,28,2006.5,2426.7,3.4,8.4,2.11,0.8571,0.7778,1.0,0.0,0.8571,,427.8,7.07,0.7394,17.25,0.2597,2.09,0.0095,0.0683,0.8675,-0.0083,0.0173,-0.646,85,random
429,3517504,11859,25,2018.3,2449.3,3.3,8.4,2.15,0.8667,0.6667,1.0,0.0,0.8667,,274.8,5.04,0.7114,16.77,0.2523,2.04,0.0104,0.0848,0.8875,-0.0071,0.0169,-0.6456,85,random
430,3525696,11884,25,2030.1,2538.7,3.2,8.3,2.05,0.6923,0.5,1.0,0.0,0.6923,,338.6,5.96,0.6918,17.05,0.2439,2.0,0.0114,0.0732,0.87,-0.008,0.0204,-0.6267,85,random
431,3533888,11902,18,2041.8,2538.0,3.2,8.3,2.06,0.7,0.75,0.5,0.0,0.7,,407.6,7.22,0.7324,17.66,0.2551,2.08,0.0068,0.0593,0.8955,-0.0088,0.0153,-0.6639,86,random
432,3542080,11917,15,2053.4,2641.8,3.1,8.5,1.94,0.7778,0.6,1.0,0.0,0.7778,,395.9,7.47,0.7888,18.3,0.2713,2.2,0.0084,0.0691,0.9114,-0.0071,0.0153,-0.7226,86,random
433,3550272,11934,17,2065.0,2753.6,3.0,8.4,1.84,0.6,0.5,0.6667,0.0,0.6,,501.1,7.65,0.7828,16.69,0.2781,2.19,0.0094,0.0945,0.9059,-0.0035,0.0178,-0.705,86,random
434,3558464,11952,18,2076.5,2811.9,2.9,8.6,1.76,1.0,1.0,1.0,0.0,1.0,,524.7,8.06,0.7891,17.91,0.2735,2.2,0.0101,0.0831,0.9377,-0.0084,0.0115,-0.7166,86,random
435,3566656,11974,22,2088.3,2677.4,3.1,8.4,1.91,0.6667,0.5,1.0,0.0,0.6667,,332.5,6.09,0.8234,17.08,0.2901,2.28,0.0086,0.0878,0.913,-0.0069,0.0163,-0.7404,86,random
436,3574848,11993,19,2099.8,2843.4,2.9,8.2,1.72,1.0,1.0,1.0,0.0,1.0,,462.0,7.16,0.8223,17.44,0.2877,2.28,0.01,0.075,0.9378,-0.0087,0.0121,-0.725,87,random
