update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
326,2670656,10188,24,1409.6,3206.8,2.6,7.9,1.45,0.625,0.6,0.6667,0.0,0.625,,261.2,4.71,-2.5,0.7233,13.28,0.2796,2.06,0.0107,0.0736,0.755,-0.0076,0.0283,-0.6573,65,random,,,,,,
327,2678848,10208,20,1420.5,2902.3,2.8,8.0,1.72,1.0,1.0,1.0,0.0,1.0,,426.6,7.05,9.0,0.7769,14.2,0.2928,2.17,0.0107,0.0648,0.8356,-0.0078,0.0164,-0.6828,65,random,,,,,,
328,2687040,10234,26,1431.5,2837.8,2.9,8.0,1.77,0.8,1.0,0.6667,0.0,0.8,,359.6,6.5,6.8,0.7657,13.79,0.2918,2.15,0.0089,0.0714,0.8196,-0.0075,0.0234,-0.7061,65,random,,,,,,
329,2695232,10259,25,1442.5,2885.6,2.8,7.9,1.75,0.8333,0.6667,1.0,0.0,0.8333,,331.4,6.08,6.25,0.7516,13.63,0.2877,2.12,0.0078,0.0681,0.8123,-0.0066,0.0231,-0.6902,65,random,,,,,,
330,2703424,10283,24,1453.6,2653.4,3.1,8.1,1.92,0.6,0.5,0.75,0.0,0.6,,394.2,6.83,2.9,0.7684,13.56,0.2947,2.16,0.0153,0.0862,0.7698,-0.0065,0.0218,-0.6727,65,random,,,,,,
331,2711616,10307,24,1464.9,2758.3,3.0,8.2,1.84,0.5,0.4444,0.6667,0.0,0.5,,293.9,5.71,5.5,0.7964,13.84,0.3031,2.22,0.0117,0.08,0.7554,-0.0068,0.0262,-0.7079,66,random,,,,,,
332,2719808,10339,32,1476.4,2644.0,3.1,8.0,1.96,0.7143,0.25,0.9,0.0,0.7143,,317.7,6.06,7.5,0.7458,13.48,0.2867,2.11,0.0115,0.0835,0.7379,-0.0068,0.0286,-0.675,66,random,,,,,,
333,2728000,10361,22,1487.8,2552.2,3.2,8.0,2.1,0.6364,0.5,0.8,0.0,0.6364,,318.4,5.73,2.45,0.7232,13.43,0.2784,2.06,0.0134,0.0784,0.8,-0.0036,0.0199,-0.6317,66,random,,,,,,
334,2736192,10391,30,1499.2,2497.2,3.3,8.0,2.13,0.6667,0.75,0.6,0.0,0.6667,,297.7,5.83,1.11,0.7322,14.14,0.2764,2.08,0.0069,0.0612,0.7869,-0.0073,0.0261,-0.6301,66,random,,,,,,
335,2744384,10424,33,1510.5,2561.1,3.2,8.0,2.06,0.5909,0.4667,0.8571,0.0,0.5909,,263.5,5.45,-0.09,0.6997,13.73,0.2671,2.01,0.0099,0.07,0.7447,-0.006,0.0328,-0.6311,66,random,,,,,,
336,2752576,10443,19,1521.7,2778.0,2.9,8.2,1.84,0.625,0.6667,0.6,0.0,0.625,,291.0,5.11,2.25,0.6739,14.16,0.2543,1.96,0.0092,0.0726,0.7425,-0.0063,0.024,-0.6148,67,random,,,,,,
337,2760768,10463,20,1532.9,2857.2,2.9,7.9,1.69,0.7273,0.5714,1.0,0.0,0.7273,,357.4,6.6,-0.36,0.7072,13.8,0.2695,2.03,0.0096,0.0688,0.7215,-0.0077,0.0247,-0.651,67,random,,,,,,
338,2768960,10485,22,1543.7,3093.9,2.6,8.0,1.56,0.7778,1.0,0.6,0.0,0.7778,,367.1,6.41,8.11,0.7341,14.4,0.2753,2.08,0.0091,0.0705,0.7925,-0.008,0.0195,-0.6578,67,random,,,,,,
339,2777152,10504,19,1554.5,2977.3,2.8,9.1,1.66,0.375,0.25,0.5,0.0,0.375,,351.3,6.53,-9.25,0.7294,13.91,0.2771,2.07,0.0106,0.0709,0.8043,-0.0063,0.0191,-0.6429,67,random,1021,200,0.665,0.49,0.84,1.9
340,2785344,10535,31,1568.7,2712.5,3.0,7.9,1.89,0.7273,0.625,1.0,0.0,0.7273,,402.9,6.42,-3.45,0.7269,13.55,0.2789,2.07,0.0094,0.0823,0.732,-0.0056,0.0258,-0.6465,67,random,,,,,,
341,2793536,10570,35,1579.7,2754.5,3.0,8.0,1.84,0.5333,0.4286,0.625,0.0,0.5333,,304.9,5.31,3.6,0.7044,12.71,0.2771,2.02,0.0105,0.0759,0.6955,-0.0083,0.0315,-0.6551,68,random,,,,,,
342,2801728,10590,20,1590.8,2848.0,2.9,7.8,1.79,0.8182,1.0,0.7143,0.0,0.8182,,230.1,4.8,7.82,0.722,13.79,0.2751,2.06,0.01,0.079,0.8146,-0.0073,0.0214,-0.647,68,random,,,,,,
343,2809920,10613,23,1601.8,2643.2,3.1,7.8,1.96,0.3333,0.5,0.2,0.0,0.3333,,366.8,7.0,-1.22,0.7665,14.05,0.2901,2.15,0.0202,0.0959,0.7781,-0.0064,0.0224,-0.6705,68,random,,,,,,
344,2818112,10645,32,1612.7,2783.5,2.9,8.0,1.85,0.7692,0.8,0.6667,0.0,0.7692,,266.2,4.97,-1.08,0.7355,13.08,0.2861,2.09,0.0101,0.0771,0.681,-0.0073,0.0361,-0.6307,68,random,,,,,,
345,2826304,10675,30,1623.8,2808.9,2.9,7.9,1.81,0.7143,0.5,0.8,0.0,0.7143,,360.0,6.33,9.64,0.7035,12.71,0.2767,2.02,0.0148,0.0787,0.7873,-0.008,0.0274,-0.6293,68,random,,,,,,
346,2834496,10700,25,1635.0,2594.7,3.2,7.7,2.02,0.6923,0.5,0.7778,0.0,0.6923,,281.7,5.04,1.31,0.7188,13.2,0.2785,2.05,0.009,0.0698,0.8075,-0.0058,0.0244,-0.628,69,random,,,,,,
