update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
141,1155072,5072,33,1496.9,2471.7,3.3,7.2,2.12,0.8889,1.0,0.8,0.0,0.8889,,267.4,6.48,10.17,1.1964,11.7,0.4865,3.31,0.0128,0.1038,0.6433,-0.0086,0.037,-1.1093,28,random
142,1163264,5109,37,1507.1,2830.9,2.9,7.1,1.75,0.6818,0.6,0.75,0.0,0.6818,,246.4,5.76,0.73,1.1043,11.04,0.4598,3.02,0.0102,0.083,0.5973,-0.0091,0.0428,-1.0615,28,random
143,1171456,5139,30,1517.5,2578.7,3.2,7.0,2.04,0.6667,0.75,0.625,0.0,0.6667,,219.6,4.8,12.08,1.1639,11.91,0.4699,3.2,0.0107,0.0969,0.7079,-0.0073,0.0335,-1.0418,28,random
144,1179648,5171,32,1528.0,2481.3,3.3,7.2,2.17,0.7778,0.6667,0.8889,0.0,0.7778,,247.8,5.88,4.0,1.115,11.33,0.4594,3.05,0.0106,0.0885,0.7133,-0.0083,0.0287,-1.005,28,random
145,1187840,5205,34,1538.7,2467.8,3.3,7.2,2.19,0.6667,0.6364,0.7143,0.0,0.6667,,293.4,6.71,6.67,1.1079,11.46,0.4543,3.03,0.0073,0.0732,0.7129,-0.0079,0.0354,-1.0392,28,random
146,1196032,5245,40,1549.6,2269.1,3.6,7.1,2.43,0.8636,0.9,0.8333,0.0,0.8636,,241.2,5.9,8.41,1.11,11.13,0.4606,3.03,0.0103,0.087,0.7728,-0.009,0.0307,-1.0312,29,random
147,1204224,5275,30,1560.1,2520.0,3.3,7.2,2.08,0.8095,0.75,0.8889,0.0,0.8095,,190.2,5.47,9.81,1.154,11.85,0.4668,3.17,0.0115,0.0984,0.7712,-0.0088,0.032,-1.0582,29,random
148,1212416,5310,35,1570.8,2441.9,3.4,7.1,2.16,0.7,0.6667,0.7143,0.0,0.7,,262.6,6.37,9.0,1.0947,10.97,0.4571,2.99,0.0109,0.0791,0.7816,-0.008,0.0315,-1.0244,29,random
149,1220608,5338,28,1581.1,2665.2,3.1,7.3,1.95,0.8125,0.7778,0.8571,0.0,0.8125,,243.0,5.86,10.88,1.1115,11.53,0.4546,3.04,0.0091,0.0872,0.7905,-0.0079,0.0257,-1.0437,29,random
150,1228800,5374,36,1591.8,2561.2,3.2,7.2,2.01,0.75,0.75,0.75,0.0,0.75,,284.4,6.28,6.38,1.1344,11.76,0.4603,3.11,0.0081,0.0759,0.7198,-0.0079,0.0327,-1.0653,29,random
151,1236992,5411,37,1602.4,2502.1,3.3,7.1,2.14,0.8182,0.7692,0.8889,0.0,0.8182,,225.9,5.7,9.59,1.1528,12.04,0.4633,3.17,0.0133,0.118,0.7545,-0.0058,0.0333,-1.057,30,random
152,1245184,5436,25,1612.9,2551.6,3.2,7.1,2.09,0.7222,0.6667,0.8333,0.0,0.7222,,246.7,5.92,12.56,1.1011,11.2,0.4558,3.01,0.0097,0.0831,0.7945,-0.007,0.0298,-1.0273,30,random
153,1253376,5462,26,1623.1,2729.6,3.0,7.1,1.88,0.8125,0.8889,0.7143,0.0,0.8125,,269.8,6.65,9.94,1.1023,11.87,0.4455,3.01,0.0101,0.0927,0.7857,-0.0077,0.0297,-1.0277,30,random
154,1261568,5493,31,1633.1,3047.0,2.7,7.1,1.55,0.9286,1.0,0.875,0.0,0.9286,,289.3,6.45,10.79,1.0856,11.27,0.4482,2.96,0.0105,0.0835,0.8038,-0.0088,0.0289,-0.9889,30,random
155,1269760,5524,31,1643.1,2883.1,2.8,7.2,1.69,0.7333,0.8333,0.6667,0.0,0.7333,,227.6,4.94,9.53,1.1269,12.4,0.4477,3.09,0.013,0.0905,0.7648,-0.0086,0.0326,-1.0208,30,random
156,1277952,5559,35,1653.6,2677.4,3.1,7.2,1.91,0.7647,0.7273,0.8333,0.0,0.7647,,304.7,6.23,7.0,1.1294,12.23,0.451,3.09,0.0101,0.0977,0.7894,-0.0084,0.0306,-1.0189,31,random
157,1286144,5591,32,1664.1,2558.8,3.2,7.2,2.01,0.6429,0.625,0.6667,0.0,0.6429,,277.2,6.09,10.64,1.0959,11.79,0.4442,2.99,0.009,0.0779,0.7645,-0.0085,0.0359,-1.0232,31,random
158,1294336,5623,32,1674.4,2780.6,2.9,7.2,1.77,0.9,0.8571,0.9231,0.0,0.9,,212.9,5.47,15.1,1.0828,11.53,0.4429,2.95,0.0106,0.1051,0.8234,-0.0092,0.0244,-1.0309,31,random
